Data source,Version/download date for manuscript,Local file evidence,Local modified date,URL/source,Use in manuscript,Confirmation status
eBird Status and Trends weekly abundance surfaces,TO CONFIRM from eBird S&T product metadata,D:\project_birdflow\eaaf_birdflow_pipeline\data\processed\environment_grid_points_eaaf.csv,2026-05-28 14:29:12,eBird Status and Trends data products / eBird data access request,Weekly destination support; not direct movement observation,local evidence found; confirm true download/access date
OBIS-linked tracking / stopping sites,Local OBIS/CSIRO IPT workflow files; confirm original download date,D:\project_birdflow\eaaf_birdflow_pipeline\data\processed\validation_weekly_transition_pairs.csv,2026-05-28 09:08:02,OBIS dataset pages and CSIRO IPT DwC-A direct downloads listed in validation_datasets.csv,Independent tracking validation and weekly transition-pair construction,local evidence found; confirm true download/access date
Ramsar Sites Information Service,2026-05-30 if using ramsar_sites_china_20260530.csv,D:\GIS\ramsar\ramsar_sites_china_20260530.csv,2026-05-30 11:40:16,Ramsar Sites Information Service,External designation overlap,local evidence found; confirm true download/access date
WDPA / Protected Planet,WDPA/WDOECM May 2026 public release if using the named file,D:\project_birdflow\eaaf_birdflow_pipeline\data\raw\external_validation\external_count_enrichment_template_filled_v1.csv,2026-05-29 15:45:11,Protected Planet / WDPA,Protected-area overlap and protection-gap status,local evidence found; confirm true download/access date
KBA / IBA,KBA Global 2026-03-01 if using KBAsGlobal_2026_March_01 files,D:\project_birdflow\eaaf_birdflow_pipeline\data\raw\external_validation\external_count_enrichment_template_filled_v1.csv,2026-05-29 15:45:11,KBA / BirdLife Data Zone / IBAT source used by user,External designation overlap,local evidence found; confirm true download/access date
EAAFP Flyway Network Sites,TO CONFIRM from external site table,D:\project_birdflow\eaaf_birdflow_pipeline\outputs\tables\q1_external_site_overlap_validation_count_enriched.csv,2026-05-29 15:52:30,EAAFP Flyway Site Network source used by user,External designation overlap,local evidence found; confirm true download/access date
Murray intertidal / Global intertidal layer,2014–2016 v1.1 layer if using the named raster,D:\GIS\murray_intertidal_east_china\intertidal_polygon.gpkg,2026-05-30 11:08:13,Murray intertidal / Global intertidal change dataset,Tidal-flat audit and mechanism variables,local evidence found; confirm true download/access date
Natural Earth coastline,Natural Earth 1:10m coastline; confirm download date,D:\GIS\natural_earth\ne_10m_coastline.shp,2026-05-30 11:14:36,Natural Earth,Coastline distance and gap-node GIS audit,local evidence found; confirm true download/access date
VIIRS nightlights,2023 raster if using viirs_2023_east_china_coast.tif,D:\GIS\viirs\viirs_2023_east_china_coast.tif,2026-05-30 11:39:32,VIIRS nighttime lights product used by user,Nightlight / human-pressure proxy,local evidence found; confirm true download/access date
Human pressure and port distance,TO CONFIRM from raw mechanism feature source,D:\project_birdflow\eaaf_birdflow_pipeline\outputs\tables\q1_mechanism_interpretation_flags.csv,2026-05-29 15:00:45,Source for human-pressure proxy and port locations to be supplied,Spearman ecological interpretability analysis,local evidence found; confirm true download/access date
