phase,country_name,iso2,iso3,why_include
phase1_shorebird_validation,Australia,AU,AUS,"Non-breeding capture/validation sites for Far Eastern Curlew, Great Knot, Bar-tailed Godwit"
phase1_shorebird_validation,China,CN,CHN,"Yellow Sea, Bohai, Yangtze coast and inland wetlands; key EAAF bottleneck"
phase1_shorebird_validation,South Korea,KR,KOR,"Yellow Sea staging areas and EAAF coastal wetlands"
phase1_shorebird_validation,North Korea,KP,PRK,"Yalu/Yellow Sea staging zone; data sparse but spatially important"
phase1_shorebird_validation,Japan,JP,JPN,"Important EAAF stopover/wintering wetlands"
phase1_shorebird_validation,New Zealand,NZ,NZL,"Non-breeding range for some EAAF shorebirds; optional in first run"
phase1_poyang_inland,China,CN,CHN,"Poyang, Dongting, Yangtze floodplain wintering and stopover wetlands"
phase1_poyang_inland,Mongolia,MN,MNG,"Breeding/moulting origin for Swan Goose and some crane/goose routes"
phase1_poyang_inland,Russia,RU,RUS,"Russian Far East breeding range for cranes/storks/shorebirds"
phase1_poyang_inland,South Korea,KR,KOR,"Stopover/wintering evidence for geese/storks; good public literature"
phase1_poyang_inland,Japan,JP,JPN,"Oriental Stork/crane/waterbird comparison and reintroduction context"
phase2_eaaf_expansion,Thailand,TH,THA,"Southeast Asian wintering/stopover wetlands"
phase2_eaaf_expansion,Vietnam,VN,VNM,"Southeast Asian coastal and delta wetlands"
phase2_eaaf_expansion,Cambodia,KH,KHM,"Mekong basin wetland extension"
phase2_eaaf_expansion,Myanmar,MM,MMR,"Bay of Bengal/EAAF extension for shorebirds"
phase2_eaaf_expansion,Malaysia,MY,MYS,"Coastal wetland extension"
phase2_eaaf_expansion,Indonesia,ID,IDN,"Australasian flyway extension"
phase2_eaaf_expansion,Philippines,PH,PHL,"Island stopover/wintering wetlands"
phase2_eaaf_expansion,Papua New Guinea,PG,PNG,"Australasian non-breeding range extension"
